cycle,time,phi1,Ex1,Ey1
1920,9.6e-09,6.839862e-01,9.399866e-01,6.008148e-02
1940,9.7e-09,7.727466e-01,1.038273e+00,1.555521e-01
1960,9.8e-09,8.705992e-01,1.066584e+00,4.751733e-02
1980,9.9e-09,9.557021e-01,1.065379e+00,9.747019e-02
2000,1e-08,1.014728e+00,9.831741e-01,1.547907e-01
2020,1.01e-08,1.046470e+00,1.128578e+00,2.062583e-01
2040,1.02e-08,1.057870e+00,1.000474e+00,1.087411e-01
2060,1.03e-08,1.051129e+00,1.076825e+00,2.058038e-02
2080,1.04e-08,1.012089e+00,1.053932e+00,2.591296e-02
2100,1.05e-08,9.338223e-01,9.537839e-01,6.472012e-02
2120,1.06e-08,8.384037e-01,9.520550e-01,1.046765e-02
2140,1.07e-08,7.472866e-01,8.735749e-01,-2.638816e-02
2160,1.08e-08,6.725435e-01,8.693287e-01,6.000000e-02
2180,1.09e-08,6.008794e-01,8.870152e-01,1.643527e-02
2200,1.1e-08,5.285462e-01,9.831235e-01,-1.838995e-02
2220,1.11e-08,4.552863e-01,8.779076e-01,8.864355e-02
2240,1.12e-08,4.125398e-01,8.312137e-01,1.182630e-01
2260,1.13e-08,4.072933e-01,8.304624e-01,-2.423589e-02
2280,1.14e-08,4.034782e-01,8.246809e-01,-7.744750e-02
2300,1.15e-08,3.839199e-01,8.635318e-01,1.122612e-01
2320,1.16e-08,3.563029e-01,8.383421e-01,-2.347890e-02
2340,1.17e-08,3.507070e-01,9.560062e-01,-9.763550e-03
2360,1.18e-08,3.760201e-01,9.755756e-01,2.352660e-02
2380,1.19e-08,4.019743e-01,9.531165e-01,7.757857e-02
2400,1.2e-08,4.062935e-01,8.838736e-01,1.034617e-01
2420,1.21e-08,4.017628e-01,9.153098e-01,4.011374e-02
2440,1.22e-08,4.301524e-01,1.011235e+00,-1.605726e-02
2460,1.23e-08,4.936590e-01,8.571708e-01,4.308385e-03
2480,1.24e-08,5.646929e-01,1.034308e+00,8.316711e-02
2500,1.25e-08,6.230141e-01,9.289870e-01,3.724667e-02
2520,1.26e-08,6.818855e-01,1.046948e+00,8.950393e-02
2540,1.27e-08,7.652436e-01,1.087536e+00,9.276908e-02
2560,1.28e-08,8.690841e-01,1.014410e+00,1.080143e-03
2580,1.29e-08,9.572545e-01,1.107301e+00,5.153821e-02
2600,1.3e-08,1.008656e+00,9.532571e-01,9.338048e-03
2620,1.31e-08,1.021815e+00,1.060988e+00,7.872278e-04
2640,1.32e-08,1.027295e+00,9.966301e-01,3.013983e-02
2660,1.33e-08,1.017725e+00,9.564003e-01,4.711435e-02
2680,1.34e-08,9.803596e-01,8.655818e-01,-1.736596e-02
2700,1.35e-08,9.068004e-01,9.477164e-01,-2.047329e-03
2720,1.36e-08,8.068140e-01,9.468914e-01,1.376969e-01
2740,1.37e-08,7.115752e-01,8.256839e-01,4.094890e-02
2760,1.38e-08,6.457353e-01,8.799452e-01,-1.539134e-02
2780,1.39e-08,5.858359e-01,9.079735e-01,2.245809e-01
2800,1.4e-08,5.155483e-01,8.394696e-01,1.070822e-01
2820,1.41e-08,4.463744e-01,8.162924e-01,1.178202e-01
2840,1.42e-08,4.058675e-01,9.996904e-01,5.841382e-02
2860,1.43e-08,4.008559e-01,9.315553e-01,6.049566e-02
2880,1.44e-08,4.050098e-01,7.323690e-01,9.162720e-02
2900,1.45e-08,3.909420e-01,7.623374e-01,-1.264791e-01
2920,1.46e-08,3.669960e-01,7.984833e-01,-2.609265e-02
2940,1.47e-08,3.551854e-01,7.148330e-01,1.152444e-01
2960,1.48e-08,3.807200e-01,8.944492e-01,-3.546865e-02
2980,1.49e-08,4.097996e-01,8.155279e-01,5.264973e-02
3000,1.5e-08,4.166844e-01,8.584198e-01,6.241775e-02
3020,1.51e-08,4.164342e-01,8.426828e-01,7.824936e-02
3040,1.52e-08,4.402894e-01,9.255053e-01,8.129581e-02
3060,1.53e-08,5.007559e-01,7.903484e-01,2.719336e-02
3080,1.54e-08,5.749815e-01,7.638984e-01,1.711177e-01
3100,1.55e-08,6.421671e-01,9.472055e-01,5.072394e-02
3120,1.56e-08,7.003233e-01,8.445888e-01,6.347105e-02
3140,1.57e-08,7.745422e-01,8.220820e-01,-1.064115e-02
3160,1.58e-08,8.662402e-01,7.969297e-01,-1.469224e-02
3180,1.59e-08,9.470015e-01,8.794586e-01,8.447127e-02
3200,1.6e-08,9.965338e-01,8.911502e-01,2.513655e-03
3220,1.61e-08,1.011062e+00,1.043044e+00,4.251264e-02
3240,1.62e-08,1.001582e+00,9.139676e-01,-3.613568e-02
3260,1.63e-08,9.777758e-01,8.828006e-01,5.401951e-03
3280,1.64e-08,9.362301e-01,1.020837e+00,8.391327e-02
3300,1.65e-08,8.697758e-01,9.939722e-01,4.577614e-02
3320,1.66e-08,7.802274e-01,8.655356e-01,9.101006e-02
3340,1.67e-08,6.910002e-01,6.844056e-01,-9.101897e-02
3360,1.68e-08,6.121128e-01,7.602167e-01,3.955981e-02
3380,1.69e-08,5.551028e-01,8.390841e-01,2.105872e-02
3400,1.7e-08,5.039064e-01,8.366438e-01,2.796012e-02
3420,1.71e-08,4.541434e-01,6.738885e-01,1.464806e-01
3440,1.72e-08,4.126039e-01,7.757809e-01,2.161263e-02
3460,1.73e-08,3.897904e-01,8.039066e-01,3.395298e-02
3480,1.74e-08,3.879259e-01,8.100807e-01,-8.764057e-02
3500,1.75e-08,3.978264e-01,7.596765e-01,7.086886e-02
3520,1.76e-08,3.942120e-01,7.520729e-01,-5.715109e-02
3540,1.77e-08,3.828714e-01,8.930301e-01,-1.168045e-01
3560,1.78e-08,3.797453e-01,7.706913e-01,-9.303317e-02
3580,1.79e-08,3.964606e-01,8.775845e-01,5.289360e-03
3600,1.8e-08,4.334849e-01,8.680901e-01,-1.066112e-01
3620,1.81e-08,4.586056e-01,6.851315e-01,3.242154e-02
3640,1.82e-08,4.710341e-01,8.311379e-01,1.751751e-02
3660,1.83e-08,5.028827e-01,9.205363e-01,1.820453e-02
3680,1.84e-08,5.812970e-01,8.102601e-01,1.816178e-02
3700,1.85e-08,6.748149e-01,8.091412e-01,8.483727e-03
3720,1.86e-08,7.493932e-01,8.827664e-01,7.718262e-03
3740,1.87e-08,8.011754e-01,7.616900e-01,-1.622971e-01
3760,1.88e-08,8.611983e-01,8.661996e-01,6.826566e-03
3780,1.89e-08,9.404333e-01,8.688397e-01,7.186721e-02
3800,1.9e-08,1.004977e+00,8.608876e-01,9.876052e-02
3820,1.91e-08,1.007781e+00,9.314595e-01,-1.208592e-01
3840,1.92e-08,9.634969e-01,1.081145e+00,-3.109355e-02
3860,1.93e-08,9.210787e-01,8.390132e-01,-5.357190e-03
3880,1.94e-08,8.925992e-01,7.868300e-01,-5.855007e-02
3900,1.95e-08,8.384352e-01,8.000247e-01,9.042793e-02
3920,1.96e-08,7.390792e-01,1.009207e+00,-4.523335e-02
3940,1.97e-08,6.365805e-01,6.854340e-01,-4.808700e-02
3960,1.98e-08,5.690644e-01,7.690376e-01,-4.373589e-02
3980,1.99e-08,5.349150e-01,6.337590e-01,7.562687e-02
4000,2e-08,4.974723e-01,7.118469e-01,-1.912862e-02
4020,2.01e-08,4.416150e-01,7.687435e-01,-6.275728e-02
4040,2.02e-08,4.015488e-01,7.398967e-01,4.278556e-02
4060,2.03e-08,3.957237e-01,6.524746e-01,3.983150e-02
4080,2.04e-08,4.085441e-01,7.479823e-01,1.608301e-02
4100,2.05e-08,4.067256e-01,8.128870e-01,5.631535e-02
4120,2.06e-08,3.918609e-01,7.877631e-01,-2.113890e-02
4140,2.07e-08,3.910141e-01,6.663314e-01,1.916850e-02
4160,2.08e-08,4.101568e-01,6.515538e-01,-1.366678e-01
4180,2.09e-08,4.303986e-01,7.115459e-01,-8.547468e-02
4200,2.1e-08,4.398229e-01,7.699358e-01,-7.394493e-02
4220,2.11e-08,4.597842e-01,7.791145e-01,-3.763445e-02
4240,2.12e-08,5.064774e-01,7.901136e-01,-1.127106e-01
4260,2.13e-08,5.700945e-01,7.144998e-01,-1.394494e-01
4280,2.14e-08,6.345160e-01,6.354849e-01,-1.513360e-01
4300,2.15e-08,6.949285e-01,1.001354e+00,-7.273623e-02
4320,2.16e-08,7.672832e-01,7.099670e-01,-1.100889e-02
4340,2.17e-08,8.504564e-01,7.398136e-01,-1.303053e-01
4360,2.18e-08,9.198594e-01,8.696342e-01,-1.280525e-01
4380,2.19e-08,9.528093e-01,9.224643e-01,-8.776616e-02
4400,2.2e-08,9.614875e-01,8.938508e-01,1.845085e-02
4420,2.21e-08,9.620154e-01,7.421238e-01,-6.871982e-02
4440,2.22e-08,9.486794e-01,7.965911e-01,-4.329710e-02
4460,2.23e-08,8.976178e-01,8.571338e-01,-8.100554e-02
4480,2.24e-08,8.154370e-01,6.498702e-01,-6.202903e-02
4500,2.25e-08,7.356840e-01,7.042035e-01,-1.158170e-01
4520,2.26e-08,6.702397e-01,6.250691e-01,3.726962e-02
4540,2.27e-08,6.108506e-01,7.767202e-01,2.347911e-02
4560,2.28e-08,5.415900e-01,7.217898e-01,-1.978788e-01
4580,2.29e-08,4.805036e-01,7.545175e-01,-8.245623e-02
4600,2.3e-08,4.442205e-01,6.491160e-01,-1.027714e-01
4620,2.31e-08,4.340398e-01,6.970121e-01,-4.316097e-02
4640,2.32e-08,4.223329e-01,6.750363e-01,-1.667761e-02
4660,2.33e-08,4.096194e-01,7.598074e-01,2.723128e-02
4680,2.34e-08,4.013094e-01,6.658735e-01,1.612199e-02
4700,2.35e-08,4.060374e-01,4.226413e-01,-7.432602e-02
4720,2.36e-08,4.135721e-01,6.722096e-01,-6.248657e-02
4740,2.37e-08,4.136392e-01,8.641168e-01,-1.236871e-01
4760,2.38e-08,4.202734e-01,7.496271e-01,-6.947091e-02
4780,2.39e-08,4.430607e-01,6.900817e-01,-1.126952e-01
4800,2.4e-08,4.749072e-01,7.183694e-01,-3.103076e-02
4820,2.41e-08,5.074120e-01,8.685461e-01,4.975011e-02
4840,2.42e-08,5.499268e-01,8.408437e-01,2.218435e-02
4860,2.43e-08,6.121597e-01,6.473725e-01,-1.671130e-02
4880,2.44e-08,6.880014e-01,7.724056e-01,1.169743e-01
4900,2.45e-08,7.617367e-01,8.659046e-01,2.775695e-02
4920,2.46e-08,8.217439e-01,6.935066e-01,2.849905e-02
4940,2.47e-08,8.719631e-01,7.190435e-01,-1.533260e-02
4960,2.48e-08,9.217711e-01,7.526518e-01,-3.253322e-02
4980,2.49e-08,9.524245e-01,8.154156e-01,-6.947429e-02
5000,2.5e-08,9.534856e-01,8.581257e-01,1.015842e-01
5020,2.51e-08,9.167619e-01,8.229104e-01,9.056279e-03
