cycle,time,phi1,Ex1,Ey1
1900,9.5e-09,5.912282e-01,8.725615e-01,1.274762e-01
1920,9.6e-09,6.394591e-01,7.773559e-01,6.977723e-03
1940,9.7e-09,7.179951e-01,9.837986e-01,4.636768e-02
1960,9.8e-09,8.160053e-01,1.078668e+00,-9.332310e-03
1980,9.9e-09,9.017650e-01,7.788113e-01,-9.195060e-02
2000,1e-08,9.557869e-01,9.454023e-01,4.132665e-02
2020,1.01e-08,9.917148e-01,9.739472e-01,-5.202606e-02
2040,1.02e-08,1.018545e+00,8.552957e-01,1.543362e-02
2060,1.03e-08,1.033365e+00,8.037686e-01,6.070258e-02
2080,1.04e-08,1.014887e+00,9.802148e-01,1.057570e-01
2100,1.05e-08,9.532030e-01,9.386192e-01,9.810090e-02
2120,1.06e-08,8.728994e-01,7.595536e-01,-1.135755e-01
2140,1.07e-08,7.952357e-01,7.303848e-01,-2.724337e-02
2160,1.08e-08,7.301710e-01,9.525498e-01,1.573112e-01
2180,1.09e-08,6.621690e-01,7.834920e-01,-7.077329e-02
2200,1.1e-08,5.853201e-01,7.614990e-01,2.758162e-02
2220,1.11e-08,5.088628e-01,7.162415e-01,1.861043e-01
2240,1.12e-08,4.692640e-01,5.780746e-01,-1.302334e-01
2260,1.13e-08,4.570214e-01,6.367545e-01,-1.332295e-01
2280,1.14e-08,4.445384e-01,8.241243e-01,-1.267848e-04
2300,1.15e-08,4.187766e-01,7.520168e-01,5.889402e-02
2320,1.16e-08,3.941662e-01,8.042480e-01,1.199874e-01
2340,1.17e-08,3.930069e-01,8.228489e-01,5.684763e-02
2360,1.18e-08,4.153501e-01,7.005644e-01,3.538449e-02
2380,1.19e-08,4.292160e-01,6.608263e-01,-3.035854e-02
2400,1.2e-08,4.258597e-01,8.477277e-01,6.319421e-03
2420,1.21e-08,4.208778e-01,6.572849e-01,-5.098624e-02
2440,1.22e-08,4.390781e-01,7.508600e-01,6.977858e-02
2460,1.23e-08,4.884334e-01,7.973432e-01,1.780473e-01
2480,1.24e-08,5.410222e-01,8.052939e-01,-3.645981e-03
2500,1.25e-08,5.834395e-01,8.259072e-01,-1.343454e-02
2520,1.26e-08,6.266497e-01,6.754029e-01,3.190439e-02
2540,1.27e-08,6.897050e-01,8.331938e-01,9.335273e-02
2560,1.28e-08,7.806752e-01,7.757292e-01,-9.233971e-02
2580,1.29e-08,8.677318e-01,8.823380e-01,-1.843291e-01
2600,1.3e-08,9.227661e-01,9.146956e-01,-2.366169e-02
2620,1.31e-08,9.552245e-01,8.940011e-01,-6.378253e-02
2640,1.32e-08,9.770252e-01,7.535447e-01,2.205360e-04
2660,1.33e-08,9.966874e-01,7.904789e-01,-6.767575e-02
2680,1.34e-08,9.921848e-01,8.797579e-01,6.054749e-02
2700,1.35e-08,9.422761e-01,9.744337e-01,3.147276e-03
2720,1.36e-08,8.589770e-01,7.208564e-01,7.589109e-02
2740,1.37e-08,7.826581e-01,7.175695e-01,7.402778e-02
2760,1.38e-08,7.306626e-01,6.400536e-01,8.488001e-03
2780,1.39e-08,6.743474e-01,6.999383e-01,8.608916e-02
2800,1.4e-08,5.978616e-01,8.363824e-01,-8.930726e-04
2820,1.41e-08,5.167028e-01,7.361917e-01,6.332662e-02
2840,1.42e-08,4.724451e-01,5.606129e-01,-7.089102e-03
2860,1.43e-08,4.690906e-01,6.324302e-01,-4.979513e-02
2880,1.44e-08,4.634126e-01,6.642348e-01,2.039923e-01
