cycle,time,phi1,Ex1,Ey1
10,5e-11,4.790352e-01,4.737920e-01,8.728850e-02
20,1e-10,4.542952e-01,7.344463e-01,8.965202e-03
30,1.5e-10,4.464462e-01,7.434330e-01,-2.080798e-01
40,2e-10,4.603660e-01,8.684910e-01,-2.364733e-01
50,2.5e-10,4.927483e-01,7.030144e-01,-2.667280e-02
60,3e-10,5.404949e-01,6.277289e-01,-2.327758e-01
70,3.5e-10,5.864432e-01,4.400509e-01,-1.117140e-01
80,4e-10,6.109315e-01,3.412161e-01,-3.594410e-02
90,4.5e-10,5.998012e-01,2.618428e-01,-8.530137e-02
100,5e-10,5.522199e-01,6.211710e-01,5.272447e-02
110,5.5e-10,4.825087e-01,7.404131e-01,-7.497340e-02
120,6e-10,4.120495e-01,9.854771e-01,-2.123139e-02
130,6.5e-10,3.690054e-01,9.100830e-01,-2.676722e-02
140,7e-10,3.670398e-01,7.070468e-01,-1.015015e-01
150,7.5e-10,4.071823e-01,8.074037e-01,2.565671e-02
160,8e-10,4.707084e-01,9.103704e-01,-1.138680e-01
170,8.5e-10,5.374293e-01,6.903996e-01,6.702896e-02
180,9e-10,5.828684e-01,6.273136e-01,-7.466125e-02
190,9.5e-10,5.905946e-01,6.580808e-01,-2.261572e-01
200,1e-09,5.475015e-01,7.590015e-01,2.185460e-02
210,1.05e-09,4.697414e-01,7.336406e-01,-7.816318e-02
220,1.1e-09,3.844221e-01,8.108379e-01,9.206764e-02
230,1.15e-09,3.204600e-01,9.937051e-01,8.360150e-02
240,1.2e-09,3.026443e-01,9.003410e-01,-1.651967e-01
250,1.25e-09,3.317298e-01,1.098410e+00,5.415932e-02
260,1.3e-09,3.954753e-01,1.109502e+00,2.106353e-01
270,1.35e-09,4.746268e-01,7.093670e-01,1.541577e-01
280,1.4e-09,5.356287e-01,6.490170e-01,-1.085715e-02
290,1.45e-09,5.516163e-01,9.075446e-01,1.562983e-01
300,1.5e-09,5.158530e-01,8.998995e-01,-2.550037e-02
310,1.55e-09,4.384752e-01,9.922245e-01,-8.914958e-02
320,1.6e-09,3.496049e-01,1.145470e+00,-1.860900e-01
330,1.65e-09,2.771181e-01,1.088926e+00,8.638237e-04
340,1.7e-09,2.452359e-01,1.272919e+00,5.633941e-02
350,1.75e-09,2.668543e-01,1.153780e+00,-5.384196e-02
360,1.8e-09,3.330274e-01,1.021288e+00,-1.399676e-01
370,1.85e-09,4.115053e-01,1.038228e+00,-1.222628e-01
380,1.9e-09,4.734741e-01,9.679873e-01,-9.004648e-02
390,1.95e-09,4.978815e-01,8.550425e-01,-9.007111e-02
400,2e-09,4.719118e-01,1.080264e+00,-3.099751e-02
410,2.05e-09,4.041975e-01,1.220121e+00,1.068625e-01
420,2.1e-09,3.202098e-01,1.000069e+00,-2.135040e-01
430,2.15e-09,2.464516e-01,1.402048e+00,4.941177e-02
440,2.2e-09,2.147405e-01,1.367327e+00,-4.969112e-02
450,2.25e-09,2.348552e-01,1.349444e+00,-3.598753e-01
460,2.3e-09,2.939976e-01,1.157731e+00,1.130063e-01
470,2.35e-09,3.718634e-01,1.030217e+00,-1.011048e-01
480,2.4e-09,4.346417e-01,1.159437e+00,-1.124452e-01
490,2.45e-09,4.603182e-01,9.376882e-01,-2.769270e-02
500,2.5e-09,4.404180e-01,1.044218e+00,-2.068885e-01
510,2.55e-09,3.834295e-01,1.197286e+00,-3.403951e-02
520,2.6e-09,3.112210e-01,1.306329e+00,1.643413e-01
530,2.65e-09,2.527551e-01,1.089594e+00,-1.418212e-01
540,2.7e-09,2.321686e-01,1.257460e+00,-2.161260e-02
550,2.75e-09,2.504345e-01,1.588017e+00,1.311868e-01
560,2.8e-09,3.048587e-01,1.509201e+00,-1.935285e-01
570,2.85e-09,3.779711e-01,1.267850e+00,-1.040344e-01
580,2.9e-09,4.352073e-01,1.108956e+00,-1.122170e-01
590,2.95e-09,4.583931e-01,1.253457e+00,1.487068e-01
600,3e-09,4.441966e-01,1.128389e+00,-1.758775e-01
610,3.05e-09,4.030198e-01,1.172306e+00,-2.559402e-02
620,3.1e-09,3.562723e-01,1.284022e+00,-8.989432e-02
630,3.15e-09,3.293088e-01,1.326102e+00,-7.336339e-02
640,3.2e-09,3.339035e-01,1.457605e+00,5.276122e-02
650,3.25e-09,3.710034e-01,1.263302e+00,6.272656e-02
660,3.3e-09,4.334393e-01,1.336219e+00,-7.338958e-03
670,3.35e-09,5.078248e-01,1.233943e+00,-3.048283e-01
680,3.4e-09,5.677968e-01,1.162366e+00,2.064836e-02
690,3.45e-09,6.137182e-01,1.156197e+00,-1.794110e-01
700,3.5e-09,6.451427e-01,1.103423e+00,-8.415806e-02
710,3.55e-09,6.629625e-01,1.326165e+00,-2.182560e-01
720,3.6e-09,6.756895e-01,1.211089e+00,-1.730189e-01
730,3.65e-09,6.994449e-01,1.276744e+00,-3.994171e-01
740,3.7e-09,7.366711e-01,1.465813e+00,-4.417890e-02
750,3.75e-09,7.881415e-01,1.410455e+00,-1.224829e-01
760,3.8e-09,8.502657e-01,1.392228e+00,-1.261964e-01
770,3.85e-09,9.197909e-01,1.231901e+00,-1.699984e-01
780,3.9e-09,9.793962e-01,1.266263e+00,7.582526e-02
790,3.95e-09,1.024925e+00,1.279162e+00,5.712932e-02
800,4e-09,1.055628e+00,1.429201e+00,8.630947e-02
810,4.05e-09,1.075662e+00,1.318083e+00,-1.072465e-02
820,4.1e-09,1.084064e+00,1.273550e+00,-1.008371e-01
830,4.15e-09,1.083517e+00,1.581190e+00,1.404893e-01
840,4.2e-09,1.082571e+00,1.451292e+00,-2.011647e-01
850,4.25e-09,1.079245e+00,1.350781e+00,-4.706295e-02
860,4.3e-09,1.068580e+00,1.565105e+00,3.242926e-02
870,4.35e-09,1.062155e+00,1.378663e+00,-1.936523e-01
880,4.4e-09,1.043894e+00,1.269976e+00,3.387725e-02
890,4.45e-09,1.021444e+00,1.273959e+00,-2.194316e-02
900,4.5e-09,9.913054e-01,1.364417e+00,3.382453e-02
910,4.55e-09,9.512855e-01,1.253857e+00,-1.030674e-02
920,4.6e-09,9.030437e-01,1.317065e+00,-1.344290e-01
930,4.65e-09,8.463839e-01,1.478078e+00,-3.664614e-02
940,4.7e-09,7.838551e-01,1.473999e+00,-5.251796e-02
950,4.75e-09,7.262741e-01,1.202863e+00,-3.087029e-02
960,4.8e-09,6.807612e-01,1.020932e+00,1.200011e-02
970,4.85e-09,6.431460e-01,1.220627e+00,-3.924896e-01
980,4.9e-09,6.157249e-01,1.117877e+00,-2.224813e-01
990,4.95e-09,5.906167e-01,1.255029e+00,3.634632e-02
1000,5e-09,5.641453e-01,1.154772e+00,-3.120829e-01
1010,5.05e-09,5.300650e-01,1.376328e+00,5.601040e-03
1020,5.1e-09,4.925383e-01,1.288805e+00,-9.833705e-02
1030,5.15e-09,4.518142e-01,1.185614e+00,-6.574876e-02
1040,5.2e-09,4.148774e-01,1.223799e+00,7.216128e-02
1050,5.25e-09,3.888805e-01,1.206328e+00,-2.416311e-03
1060,5.3e-09,3.763503e-01,1.271436e+00,-4.996673e-02
1070,5.35e-09,3.717937e-01,1.371347e+00,1.914244e-01
1080,5.4e-09,3.753246e-01,1.108293e+00,1.093591e-01
1090,5.45e-09,3.841451e-01,1.321712e+00,-1.963358e-01
1100,5.5e-09,3.873930e-01,1.368720e+00,9.356748e-02
1110,5.55e-09,3.780346e-01,1.278080e+00,-6.507681e-02
1120,5.6e-09,3.658896e-01,1.336950e+00,-7.323003e-02
1130,5.65e-09,3.516833e-01,1.102806e+00,-1.640458e-01
1140,5.7e-09,3.412446e-01,9.700007e-01,-8.644380e-02
1150,5.75e-09,3.333958e-01,9.598710e-01,1.418885e-02
1160,5.8e-09,3.355097e-01,9.889832e-01,2.057052e-02
1170,5.85e-09,3.472604e-01,1.281074e+00,1.542882e-01
1180,5.9e-09,3.622854e-01,1.406656e+00,2.906236e-02
1190,5.95e-09,3.802342e-01,1.197683e+00,2.434324e-02
1200,6e-09,3.940773e-01,1.051355e+00,2.066171e-01
1210,6.05e-09,3.973722e-01,1.443968e+00,1.633459e-01
1220,6.1e-09,3.958958e-01,1.451733e+00,1.067701e-01
1230,6.15e-09,3.918656e-01,1.206119e+00,1.387082e-01
1240,6.2e-09,3.937973e-01,1.199694e+00,-4.965497e-02
1250,6.25e-09,4.040486e-01,1.149394e+00,-2.713604e-01
1260,6.3e-09,4.280416e-01,9.139413e-01,-6.844949e-02
1270,6.35e-09,4.542702e-01,1.295668e+00,-1.687986e-01
1280,6.4e-09,4.930065e-01,1.317290e+00,-1.322365e-01
1290,6.45e-09,5.314703e-01,1.266766e+00,-5.721486e-02
1300,6.5e-09,5.641000e-01,1.225895e+00,1.977778e-01
1310,6.55e-09,5.941627e-01,1.206813e+00,7.300655e-02
1320,6.6e-09,6.208968e-01,1.009196e+00,1.847970e-01
1330,6.65e-09,6.467834e-01,1.079434e+00,9.163968e-02
1340,6.7e-09,6.791763e-01,1.437628e+00,9.500853e-02
1350,6.75e-09,7.200989e-01,1.207627e+00,1.297124e-01
1360,6.8e-09,7.667060e-01,1.185224e+00,9.602294e-02
1370,6.85e-09,8.199944e-01,1.213670e+00,3.776046e-02
1380,6.9e-09,8.679956e-01,1.163480e+00,1.735288e-01
1390,6.95e-09,9.181979e-01,1.435606e+00,-1.836081e-01
1400,7e-09,9.582757e-01,1.434587e+00,1.259830e-01
1410,7.05e-09,9.882055e-01,1.270822e+00,2.158979e-02
1420,7.1e-09,1.008683e+00,1.438021e+00,1.643082e-01
1430,7.15e-09,1.020063e+00,1.170698e+00,-3.766808e-02
1440,7.2e-09,1.029655e+00,1.033723e+00,-1.839942e-01
1450,7.25e-09,1.034369e+00,1.122984e+00,2.922410e-01
1460,7.3e-09,1.039354e+00,1.212514e+00,-1.087797e-01
1470,7.35e-09,1.041317e+00,1.245509e+00,2.063958e-02
1480,7.4e-09,1.036558e+00,1.375204e+00,9.717849e-02
1490,7.45e-09,1.026256e+00,1.227712e+00,-8.613916e-02
1500,7.5e-09,1.005578e+00,1.086657e+00,2.262939e-02
1510,7.55e-09,9.744902e-01,1.152389e+00,2.394433e-02
1520,7.6e-09,9.296489e-01,1.289049e+00,-7.508269e-02
1530,7.65e-09,8.786808e-01,1.181794e+00,-1.005144e-01
1540,7.7e-09,8.247555e-01,1.082611e+00,7.372905e-02
1550,7.75e-09,7.788708e-01,1.119283e+00,-6.048116e-02
1560,7.8e-09,7.372521e-01,1.105205e+00,-7.186539e-02
1570,7.85e-09,7.051880e-01,1.251110e+00,-2.556337e-02
1580,7.9e-09,6.768596e-01,1.094693e+00,8.413778e-04
1590,7.95e-09,6.464781e-01,7.928122e-01,1.520098e-01
1600,8e-09,6.110815e-01,1.197810e+00,2.682173e-01
1610,8.05e-09,5.745258e-01,1.213143e+00,-8.575054e-02
1620,8.1e-09,5.348551e-01,1.143465e+00,3.493696e-02
1630,8.15e-09,4.923306e-01,1.187829e+00,4.259257e-03
1640,8.2e-09,4.609730e-01,1.197142e+00,-1.355758e-01
1650,8.25e-09,4.334138e-01,1.243569e+00,-2.329449e-02
1660,8.3e-09,4.191897e-01,1.028238e+00,-4.329151e-02
1670,8.35e-09,4.132978e-01,1.379885e+00,-2.773459e-02
1680,8.4e-09,4.145342e-01,1.126580e+00,5.088921e-02
1690,8.45e-09,4.134359e-01,1.188851e+00,-3.371189e-02
1700,8.5e-09,4.097162e-01,1.022090e+00,8.849312e-02
1710,8.55e-09,4.001877e-01,1.078866e+00,-2.785876e-01
1720,8.6e-09,3.841795e-01,1.139813e+00,-5.388490e-02
1730,8.65e-09,3.689422e-01,1.014033e+00,6.322999e-02
1740,8.7e-09,3.562707e-01,9.822711e-01,-6.145332e-02
1750,8.75e-09,3.522415e-01,1.169167e+00,8.288170e-04
1760,8.8e-09,3.521610e-01,1.220134e+00,6.438780e-02
1770,8.85e-09,3.645689e-01,1.250638e+00,7.466511e-02
1780,8.9e-09,3.820139e-01,1.148703e+00,-2.183187e-02
1790,8.95e-09,4.001384e-01,9.329297e-01,3.646614e-02
1800,9e-09,4.120722e-01,1.035120e+00,-3.905082e-02
1810,9.05e-09,4.110812e-01,1.037974e+00,1.382760e-01
1820,9.1e-09,4.071782e-01,1.189631e+00,-2.742094e-02
1830,9.15e-09,3.989905e-01,1.281883e+00,2.945639e-01
1840,9.2e-09,3.955175e-01,1.164610e+00,3.455612e-02
1850,9.25e-09,4.053823e-01,1.278905e+00,8.234745e-02
1860,9.3e-09,4.256695e-01,8.501920e-01,-1.146103e-01
1870,9.35e-09,4.560976e-01,1.140502e+00,1.467645e-01
1880,9.4e-09,4.914447e-01,1.289255e+00,1.386989e-02
1890,9.45e-09,5.300192e-01,1.119949e+00,-9.408431e-02
1900,9.5e-09,5.606993e-01,1.504881e+00,1.065407e-01
1910,9.55e-09,5.888712e-01,1.244209e+00,-1.495021e-01
1920,9.6e-09,6.101587e-01,1.161244e+00,1.326203e-01
1930,9.65e-09,6.303425e-01,1.096633e+00,3.737919e-02
1940,9.7e-09,6.557193e-01,1.055874e+00,1.535790e-01
1950,9.75e-09,6.915143e-01,9.595845e-01,1.060340e-01
1960,9.8e-09,7.358014e-01,1.357835e+00,-3.352258e-02
1970,9.85e-09,7.885038e-01,1.276854e+00,1.191075e-01
1980,9.9e-09,8.431334e-01,1.321591e+00,3.196677e-01
1990,9.95e-09,8.947716e-01,8.144786e-01,-1.755111e-01
2000,1e-08,9.334041e-01,1.221353e+00,4.812959e-02
2010,1.005e-08,9.627141e-01,1.330987e+00,-1.157812e-01
2020,1.01e-08,9.814636e-01,1.396691e+00,1.100221e-01
2030,1.015e-08,9.921821e-01,1.221756e+00,2.595725e-02
2040,1.02e-08,9.984836e-01,1.223904e+00,1.489771e-01
2050,1.025e-08,1.005679e+00,1.331751e+00,-1.242675e-01
2060,1.03e-08,1.017819e+00,1.230494e+00,-9.679680e-02
2070,1.035e-08,1.031130e+00,1.081089e+00,-2.030524e-01
2080,1.04e-08,1.038066e+00,1.153469e+00,5.402885e-02
2090,1.045e-08,1.036303e+00,1.055133e+00,3.447908e-02
2100,1.05e-08,1.017010e+00,8.614979e-01,1.703784e-02
2110,1.055e-08,9.821899e-01,1.020616e+00,-2.357157e-02
2120,1.06e-08,9.337549e-01,1.131398e+00,2.184680e-01
2130,1.065e-08,8.806761e-01,1.252322e+00,1.034658e-01
2140,1.07e-08,8.307663e-01,1.140896e+00,-1.091446e-01
2150,1.075e-08,7.900713e-01,1.186950e+00,-1.202047e-01
2160,1.08e-08,7.605735e-01,1.331485e+00,-1.581717e-01
2170,1.085e-08,7.356614e-01,1.212286e+00,-1.644812e-01
2180,1.09e-08,7.109448e-01,1.154701e+00,-5.016750e-02
2190,1.095e-08,6.835040e-01,9.300480e-01,-1.171575e-01
2200,1.1e-08,6.455311e-01,1.162405e+00,-7.401393e-02
2210,1.105e-08,5.989650e-01,1.045670e+00,6.453758e-02
2220,1.11e-08,5.493221e-01,1.069255e+00,-5.500153e-02
2230,1.115e-08,5.025369e-01,7.086598e-01,-8.360552e-02
2240,1.12e-08,4.677436e-01,9.527804e-01,-8.811834e-02
2250,1.125e-08,4.454080e-01,8.430467e-01,-4.756854e-02
2260,1.13e-08,4.398566e-01,7.779150e-01,1.110482e-02
2270,1.135e-08,4.383869e-01,1.130653e+00,-8.391663e-02
2280,1.14e-08,4.380971e-01,1.099854e+00,1.201658e-02
2290,1.145e-08,4.380035e-01,1.203294e+00,-1.200515e-01
2300,1.15e-08,4.305345e-01,1.086812e+00,-5.167446e-02
2310,1.155e-08,4.161043e-01,1.049241e+00,-2.641127e-01
2320,1.16e-08,3.933420e-01,9.516236e-01,5.041062e-02
2330,1.165e-08,3.703729e-01,9.118016e-01,-5.676344e-02
2340,1.17e-08,3.568230e-01,9.379087e-01,-8.333004e-02
2350,1.175e-08,3.556399e-01,1.031698e+00,-7.145734e-02
2360,1.18e-08,3.679447e-01,1.151881e+00,-1.167955e-01
2370,1.185e-08,3.867999e-01,1.031869e+00,4.398270e-03
2380,1.19e-08,4.061637e-01,1.128512e+00,1.346498e-01
2390,1.195e-08,4.204856e-01,9.110652e-01,-5.632074e-02
2400,1.2e-08,4.199874e-01,1.146653e+00,-1.348872e-01
2410,1.205e-08,4.152685e-01,1.136008e+00,-1.285672e-01
2420,1.21e-08,4.031743e-01,9.382301e-01,-6.479822e-02
2430,1.215e-08,3.967817e-01,8.013154e-01,6.629870e-03
2440,1.22e-08,3.958003e-01,7.857605e-01,1.338051e-01
2450,1.225e-08,4.094965e-01,8.097999e-01,-1.640988e-01
2460,1.23e-08,4.381771e-01,9.969319e-01,-1.133153e-01
2470,1.235e-08,4.680820e-01,1.062288e+00,4.511511e-02
2480,1.24e-08,5.015410e-01,1.082007e+00,9.043230e-02
2490,1.245e-08,5.299533e-01,9.609113e-01,-6.255787e-02
2500,1.25e-08,5.495235e-01,9.850633e-01,2.145316e-02
2510,1.255e-08,5.685133e-01,1.049276e+00,-7.912313e-02
2520,1.26e-08,5.850459e-01,8.818176e-01,1.273149e-01
2530,1.265e-08,6.062127e-01,7.593331e-01,-8.524542e-02
2540,1.27e-08,6.350584e-01,1.096697e+00,7.716025e-02
2550,1.275e-08,6.751428e-01,1.117802e+00,3.398300e-02
2560,1.28e-08,7.197315e-01,1.055715e+00,-9.394005e-03
2570,1.285e-08,7.713730e-01,9.361842e-01,-1.453391e-01
2580,1.29e-08,8.220397e-01,1.151072e+00,-1.999617e-01
2590,1.295e-08,8.642374e-01,9.799706e-01,-1.570692e-02
2600,1.3e-08,8.933174e-01,1.153648e+00,9.155267e-03
2610,1.305e-08,9.149399e-01,9.791270e-01,-2.782622e-02
2620,1.31e-08,9.307619e-01,9.922577e-01,6.029754e-02
2630,1.315e-08,9.476212e-01,1.251429e+00,6.271042e-02
2640,1.32e-08,9.629579e-01,1.163619e+00,-1.636419e-01
2650,1.325e-08,9.856656e-01,1.064882e+00,-1.559370e-01
2660,1.33e-08,1.002221e+00,1.061754e+00,-2.841878e-02
