t,phi
2.26e-08,-0.1173486
2.27e-08,-0.07129741
2.2800000000000002e-08,-0.1092661
2.29e-08,-0.1856764
2.3e-08,-0.08357215
2.3100000000000002e-08,-0.09265307
2.32e-08,-0.09855501
2.33e-08,0.02216539
2.34e-08,0.05999937
2.3500000000000002e-08,0.06083198
2.36e-08,-0.2470367
2.37e-08,0.02636916
2.38e-08,-0.07430484
2.3900000000000002e-08,0.005123377
2.4e-08,0.0003435121
2.41e-08,-0.006542617
2.42e-08,-0.2018121
2.4300000000000003e-08,-0.08633789
2.44e-08,-0.1112056
2.45e-08,0.0515156
2.4600000000000002e-08,-0.007708448
2.47e-08,-0.0110635
2.48e-08,-0.01367685
2.49e-08,-0.03082375
2.5000000000000002e-08,0.06324547
2.51e-08,-0.1092499
2.52e-08,-0.1464543
2.53e-08,-0.117888
2.5400000000000002e-08,-0.05679446
2.55e-08,-0.08794872
2.56e-08,-0.002137432
2.5700000000000002e-08,-0.1822203
2.58e-08,-0.06882465
2.59e-08,-0.07918093
2.6e-08,-0.08214581
2.6100000000000002e-08,-0.1383517
2.62e-08,-0.02310321
2.63e-08,-0.08260766
2.64e-08,-0.09004229
2.6500000000000002e-08,-0.02811186
2.66e-08,-0.05441387
2.67e-08,-0.007187739
2.6800000000000002e-08,-0.03571873
2.69e-08,0.1682025
2.7e-08,-0.1604642
2.71e-08,-0.0412605
2.7200000000000002e-08,-0.007649433
2.73e-08,0.08875561
2.74e-08,0.02172897
2.75e-08,-0.0268473
2.7600000000000002e-08,-0.009338738
2.77e-08,0.04240244
2.78e-08,-0.02710935
2.7900000000000002e-08,0.08961159
2.8000000000000003e-08,-0.04296475
2.81e-08,-0.05536278
2.82e-08,-0.09806295
2.8300000000000002e-08,-0.1905609
2.84e-08,-0.1467779
2.85e-08,0.07933766
2.86e-08,-0.06772275
2.8700000000000002e-08,-0.02371822
2.88e-08,-0.1337008
2.89e-08,-0.1119093
2.9e-08,-0.1267517
2.9100000000000002e-08,-0.09687185
2.92e-08,-0.06012862
2.93e-08,-0.2267494
2.9400000000000002e-08,-0.1000826
2.95e-08,-0.04636386
2.96e-08,-0.06966292
2.97e-08,-0.2114451
2.9800000000000002e-08,-0.1331813
2.99e-08,-0.01434713
3.0000000000000004e-08,-0.1071521
3.01e-08,-0.09844028
3.02e-08,-0.06431243
3.03e-08,-0.08787286
3.04e-08,-0.04622758
3.05e-08,-0.02929408
3.06e-08,-0.03431777
3.0700000000000004e-08,-0.01272942
3.08e-08,0.09336109
3.09e-08,-0.1515455
3.1e-08,-0.1969395
3.11e-08,-0.06403861
3.12e-08,-0.1119044
3.13e-08,-0.104918
3.14e-08,-0.04293835
3.1500000000000004e-08,-0.1340889
3.16e-08,-0.05370906
3.17e-08,-0.236369
3.18e-08,0.005066865
3.19e-08,-0.01260804
3.2e-08,-0.1236079
3.21e-08,-0.09201346
3.2200000000000004e-08,-0.09494297
3.23e-08,-0.08283228
3.24e-08,0.02767481
3.25e-08,0.05409167
3.26e-08,-0.2199775
3.27e-08,-0.05805114
3.28e-08,-0.1058152
3.2900000000000003e-08,-0.01167006
3.3000000000000004e-08,-0.07341807
3.31e-08,0.006613304
