cycle,time,phi1,Ex1,Ey1
1880,9.4e-09,5.511240e-01,9.779250e-01,9.877736e-02
1900,9.5e-09,6.154997e-01,9.257638e-01,-8.189523e-03
1920,9.6e-09,6.918393e-01,9.362459e-01,-3.874939e-03
1940,9.7e-09,7.818531e-01,9.293228e-01,3.390965e-02
1960,9.8e-09,8.823112e-01,1.022834e+00,-4.338981e-02
1980,9.9e-09,9.725038e-01,1.086548e+00,-3.244357e-02
2000,1e-08,1.033302e+00,1.016527e+00,1.472556e-02
2020,1.01e-08,1.062952e+00,9.807132e-01,-8.036753e-03
2040,1.02e-08,1.069012e+00,1.009846e+00,3.041258e-03
2060,1.03e-08,1.057484e+00,1.080266e+00,-3.749005e-03
2080,1.04e-08,1.019503e+00,1.022129e+00,3.373646e-02
2100,1.05e-08,9.454624e-01,9.107326e-01,-5.335105e-03
2120,1.06e-08,8.431824e-01,9.812468e-01,4.309523e-02
2140,1.07e-08,7.441264e-01,8.308110e-01,-6.080903e-02
2160,1.08e-08,6.646428e-01,8.750588e-01,-6.084325e-02
2180,1.09e-08,5.972905e-01,9.256108e-01,-3.884750e-02
2200,1.1e-08,5.272624e-01,9.050515e-01,-4.315801e-02
2220,1.11e-08,4.538033e-01,8.319333e-01,-2.047894e-02
2240,1.12e-08,4.071397e-01,8.568961e-01,-1.289517e-01
2260,1.13e-08,3.976136e-01,9.377222e-01,-5.590350e-02
2280,1.14e-08,3.981797e-01,9.099737e-01,-1.614478e-02
2300,1.15e-08,3.832025e-01,9.873222e-01,-7.376263e-02
2320,1.16e-08,3.551599e-01,8.722443e-01,8.754651e-02
2340,1.17e-08,3.463033e-01,8.859112e-01,8.482409e-02
2360,1.18e-08,3.701123e-01,9.529919e-01,1.877939e-02
2380,1.19e-08,3.989606e-01,8.846396e-01,-3.343648e-02
2400,1.2e-08,4.049710e-01,8.364528e-01,5.461679e-02
2420,1.21e-08,4.004367e-01,8.175425e-01,-9.057425e-03
2440,1.22e-08,4.271842e-01,9.041222e-01,-3.749806e-02
2460,1.23e-08,4.904163e-01,9.025710e-01,6.447209e-02
2480,1.24e-08,5.685232e-01,8.346128e-01,2.566532e-02
2500,1.25e-08,6.340570e-01,9.037232e-01,5.854498e-02
2520,1.26e-08,6.975606e-01,9.310874e-01,-3.664640e-03
2540,1.27e-08,7.783018e-01,9.502982e-01,-3.217981e-02
2560,1.28e-08,8.809583e-01,1.006862e+00,-2.664789e-02
2580,1.29e-08,9.756842e-01,9.935335e-01,2.914397e-02
2600,1.3e-08,1.030263e+00,9.142746e-01,6.593847e-03
2620,1.31e-08,1.045889e+00,1.032979e+00,-2.296068e-02
2640,1.32e-08,1.042786e+00,1.062966e+00,3.847196e-02
2660,1.33e-08,1.031386e+00,1.021976e+00,-5.210320e-03
2680,1.34e-08,9.942154e-01,1.035046e+00,-4.009763e-02
2700,1.35e-08,9.150571e-01,9.635488e-01,1.723084e-02
2720,1.36e-08,8.065224e-01,1.012627e+00,5.689236e-02
2740,1.37e-08,7.096967e-01,9.034829e-01,9.629305e-02
2760,1.38e-08,6.392881e-01,9.476109e-01,8.830487e-02
2780,1.39e-08,5.799532e-01,8.965983e-01,1.177667e-01
2800,1.4e-08,5.111087e-01,8.390586e-01,-4.814883e-02
2820,1.41e-08,4.408724e-01,8.552388e-01,4.661682e-02
2840,1.42e-08,3.971096e-01,9.575447e-01,2.121485e-02
2860,1.43e-08,3.913934e-01,8.988121e-01,4.930802e-02
2880,1.44e-08,4.006658e-01,8.039126e-01,-5.685136e-02
2900,1.45e-08,3.901224e-01,8.567625e-01,1.034621e-01
2920,1.46e-08,3.640144e-01,8.826962e-01,-8.861911e-02
2940,1.47e-08,3.505821e-01,9.457664e-01,3.244054e-02
2960,1.48e-08,3.745677e-01,7.633824e-01,-8.252112e-03
2980,1.49e-08,4.050789e-01,8.233488e-01,-6.978372e-02
3000,1.5e-08,4.148018e-01,8.509993e-01,3.460643e-02
3020,1.51e-08,4.141203e-01,9.008105e-01,2.288006e-03
3040,1.52e-08,4.341391e-01,9.131053e-01,7.202268e-02
3060,1.53e-08,4.934070e-01,7.988936e-01,-3.316396e-02
3080,1.54e-08,5.741383e-01,8.458769e-01,7.702649e-03
3100,1.55e-08,6.481023e-01,9.905197e-01,1.470781e-02
3120,1.56e-08,7.131101e-01,8.998795e-01,1.020947e-02
3140,1.57e-08,7.873493e-01,8.885087e-01,1.941695e-02
3160,1.58e-08,8.783362e-01,8.985253e-01,7.091405e-02
3180,1.59e-08,9.682204e-01,9.063890e-01,-9.081919e-03
3200,1.6e-08,1.024011e+00,1.015173e+00,-5.499285e-03
3220,1.61e-08,1.035000e+00,9.919167e-01,-3.291336e-02
3240,1.62e-08,1.018599e+00,9.196132e-01,-5.384950e-02
3260,1.63e-08,9.927886e-01,9.795595e-01,7.272369e-03
3280,1.64e-08,9.514927e-01,9.139757e-01,4.220103e-04
3300,1.65e-08,8.795313e-01,9.405697e-01,2.880793e-02
3320,1.66e-08,7.836230e-01,8.587102e-01,6.144335e-02
3340,1.67e-08,6.840403e-01,8.057613e-01,8.404346e-02
3360,1.68e-08,6.045330e-01,8.588238e-01,6.614058e-02
3380,1.69e-08,5.453694e-01,9.234946e-01,7.168990e-02
3400,1.7e-08,4.951375e-01,8.921763e-01,6.290393e-02
3420,1.71e-08,4.480379e-01,7.653529e-01,6.330957e-02
3440,1.72e-08,4.038210e-01,7.613016e-01,7.528963e-02
3460,1.73e-08,3.781376e-01,8.815174e-01,9.334458e-02
3480,1.74e-08,3.830585e-01,8.499855e-01,3.808551e-03
3500,1.75e-08,3.981365e-01,7.951356e-01,6.547135e-02
3520,1.76e-08,3.949274e-01,6.540959e-01,7.120372e-02
3540,1.77e-08,3.730442e-01,8.449721e-01,2.083794e-02
3560,1.78e-08,3.664927e-01,9.155705e-01,2.951886e-02
3580,1.79e-08,3.943775e-01,8.065451e-01,-3.329153e-02
3600,1.8e-08,4.343430e-01,7.035291e-01,-8.421780e-02
3620,1.81e-08,4.543856e-01,7.862516e-01,-3.880784e-02
3640,1.82e-08,4.604982e-01,8.701592e-01,-8.022915e-03
3660,1.83e-08,4.990793e-01,9.547428e-01,-7.212786e-02
3680,1.84e-08,5.842341e-01,8.093473e-01,6.619684e-02
3700,1.85e-08,6.834741e-01,7.589517e-01,1.407028e-02
3720,1.86e-08,7.576038e-01,9.103293e-01,3.512412e-02
3740,1.87e-08,8.113307e-01,9.116437e-01,-8.476810e-02
3760,1.88e-08,8.774691e-01,9.621871e-01,-1.195420e-02
3780,1.89e-08,9.628505e-01,8.613288e-01,1.287518e-02
3800,1.9e-08,1.026620e+00,8.740238e-01,3.804344e-02
3820,1.91e-08,1.030132e+00,1.030194e+00,-1.124794e-02
3840,1.92e-08,9.845042e-01,9.640332e-01,2.260350e-02
3860,1.93e-08,9.362751e-01,8.168213e-01,1.064960e-01
3880,1.94e-08,9.028857e-01,6.790512e-01,7.536305e-02
3900,1.95e-08,8.440605e-01,8.953711e-01,-6.310089e-03
3920,1.96e-08,7.390795e-01,9.083565e-01,8.466564e-02
3940,1.97e-08,6.280935e-01,8.357842e-01,2.449623e-02
3960,1.98e-08,5.592622e-01,6.779883e-01,-7.078405e-02
3980,1.99e-08,5.241898e-01,6.705665e-01,1.270007e-01
4000,2e-08,4.835038e-01,7.981541e-01,8.631100e-02
4020,2.01e-08,4.289231e-01,7.646244e-01,9.824988e-02
4040,2.02e-08,3.932620e-01,7.312382e-01,8.502662e-02
4060,2.03e-08,3.920247e-01,6.593493e-01,2.092072e-02
4080,2.04e-08,4.002618e-01,7.987131e-01,5.717667e-02
4100,2.05e-08,3.967330e-01,8.528594e-01,5.494637e-02
4120,2.06e-08,3.855468e-01,8.604779e-01,1.067310e-01
4140,2.07e-08,3.867395e-01,6.913633e-01,2.757132e-02
4160,2.08e-08,4.044648e-01,7.588907e-01,4.257262e-02
4180,2.09e-08,4.217075e-01,7.782021e-01,4.670869e-02
4200,2.1e-08,4.311782e-01,7.734441e-01,-4.222869e-02
4220,2.11e-08,4.517828e-01,8.338462e-01,-1.280136e-02
4240,2.12e-08,5.033758e-01,6.758504e-01,5.401479e-02
4260,2.13e-08,5.735171e-01,9.022570e-01,1.323001e-02
4280,2.14e-08,6.391104e-01,8.460099e-01,9.577867e-04
4300,2.15e-08,7.019242e-01,9.460663e-01,-2.762366e-03
4320,2.16e-08,7.808540e-01,7.908867e-01,-1.017416e-02
4340,2.17e-08,8.716518e-01,8.414043e-01,5.988847e-02
4360,2.18e-08,9.452610e-01,8.800766e-01,2.119123e-02
4380,2.19e-08,9.791007e-01,9.589460e-01,3.909484e-02
4400,2.2e-08,9.867404e-01,8.654763e-01,6.024064e-02
4420,2.21e-08,9.862177e-01,8.625412e-01,-1.244767e-03
4440,2.22e-08,9.680135e-01,8.172671e-01,1.126966e-01
4460,2.23e-08,9.116977e-01,8.549000e-01,5.544136e-02
4480,2.24e-08,8.235037e-01,8.329747e-01,4.277774e-02
4500,2.25e-08,7.369046e-01,7.392212e-01,-1.167328e-02
4520,2.26e-08,6.674367e-01,7.118078e-01,3.543346e-02
4540,2.27e-08,6.016802e-01,7.235118e-01,1.130833e-01
4560,2.28e-08,5.278750e-01,7.444198e-01,7.797460e-02
4580,2.29e-08,4.663549e-01,7.296371e-01,9.250247e-02
4600,2.3e-08,4.344364e-01,6.627792e-01,9.041930e-02
4620,2.31e-08,4.230543e-01,6.049176e-01,4.555392e-02
4640,2.32e-08,4.120252e-01,6.959152e-01,1.145723e-01
4660,2.33e-08,3.977557e-01,7.934993e-01,1.615525e-01
4680,2.34e-08,3.930122e-01,6.893440e-01,1.024233e-01
4700,2.35e-08,3.981806e-01,6.266236e-01,1.408171e-01
4720,2.36e-08,4.061821e-01,8.150001e-01,8.382022e-02
4740,2.37e-08,4.073848e-01,7.117533e-01,-1.207132e-02
4760,2.38e-08,4.149605e-01,7.810219e-01,7.547772e-03
4780,2.39e-08,4.342907e-01,7.133352e-01,-6.676691e-02
4800,2.4e-08,4.654244e-01,6.650751e-01,7.016311e-02
4820,2.41e-08,5.018281e-01,7.953575e-01,-5.084737e-04
4840,2.42e-08,5.487534e-01,8.040960e-01,3.142164e-02
