cycle,time,phi[ngx/4 ngy/2],Ex[ngx/4 ngy/2],Ey[ngx/4 ngy/2]
201820,1.0091e-06,6.054911e-01,1.125345e+00,4.649616e-01
201840,1.0092e-06,6.114784e-01,1.038254e+00,3.094107e-01
201860,1.0093e-06,6.100069e-01,1.397492e+00,3.150617e-01
201880,1.0094e-06,6.047995e-01,1.537794e+00,3.718046e-01
201900,1.0095e-06,6.075166e-01,1.593869e+00,3.999837e-01
201920,1.0096e-06,6.045125e-01,1.608822e+00,3.259411e-01
201940,1.0097e-06,6.065375e-01,1.424477e+00,4.751359e-01
201960,1.0098e-06,6.016864e-01,1.513349e+00,4.461043e-01
201980,1.0099e-06,6.006261e-01,1.571064e+00,3.179815e-01
202000,1.01e-06,6.011481e-01,1.438114e+00,4.875957e-01
202020,1.0101e-06,5.991320e-01,1.538571e+00,4.917296e-01
202040,1.0102e-06,5.944196e-01,1.421643e+00,1.187896e-01
202060,1.0103e-06,6.061874e-01,1.358371e+00,2.060052e-01
202080,1.0104e-06,6.203955e-01,1.142467e+00,1.598347e-01
202100,1.0105e-06,6.225047e-01,1.083309e+00,2.200806e-01
202120,1.0106e-06,6.176824e-01,1.021962e+00,-1.750831e-02
202140,1.0107e-06,6.198013e-01,8.891025e-01,2.123649e-02
202160,1.0108e-06,6.276153e-01,9.080197e-01,2.825880e-01
202180,1.0109e-06,6.314707e-01,9.729497e-01,4.014723e-01
202200,1.011e-06,6.205963e-01,8.853855e-01,1.365229e-01
202220,1.0111e-06,6.102028e-01,9.647455e-01,1.321810e-01
202240,1.0112e-06,6.106116e-01,9.239691e-01,3.252175e-01
202260,1.0113e-06,6.171011e-01,6.392512e-01,-1.100452e-02
202280,1.0114e-06,6.060134e-01,8.556266e-01,2.563502e-01
202300,1.0115e-06,6.032778e-01,8.740683e-01,5.522306e-02
202320,1.0116e-06,6.033211e-01,8.172342e-01,2.186031e-01
202340,1.0117e-06,6.043320e-01,4.891749e-01,5.515545e-02
202360,1.0118e-06,5.999306e-01,6.858354e-01,1.444859e-01
202380,1.0119e-06,5.916856e-01,8.001388e-01,1.200490e-01
202400,1.012e-06,5.967117e-01,1.050338e+00,1.002570e-01
202420,1.0121e-06,6.026410e-01,9.503263e-01,1.902258e-01
202440,1.0122e-06,6.048647e-01,6.942576e-01,-2.200629e-01
202460,1.0123e-06,6.105682e-01,1.007166e+00,-5.196689e-02
202480,1.0124e-06,6.125649e-01,1.327100e+00,-7.447889e-02
202500,1.0125e-06,6.097201e-01,1.329497e+00,2.847156e-01
202520,1.0126e-06,6.188388e-01,1.430213e+00,1.171652e-01
202540,1.0127e-06,6.137704e-01,1.350736e+00,1.121085e-01
202560,1.0128e-06,6.132959e-01,1.288309e+00,1.456225e-01
202580,1.0129e-06,6.167917e-01,1.344421e+00,1.441929e-01
202600,1.013e-06,6.076793e-01,1.215881e+00,-1.223256e-01
202620,1.0131e-06,5.996245e-01,1.224275e+00,1.940125e-02
202640,1.0132e-06,5.990056e-01,1.290341e+00,6.101354e-02
202660,1.0133e-06,6.004857e-01,1.359367e+00,-4.045100e-02
202680,1.0134e-06,6.198903e-01,1.147040e+00,-1.394368e-01
202700,1.0135e-06,6.206409e-01,1.180495e+00,-1.182856e-01
202720,1.0136e-06,6.149597e-01,1.260275e+00,1.096314e-01
202740,1.0137e-06,6.167902e-01,9.263178e-01,-1.170137e-01
202760,1.0138e-06,6.218462e-01,8.422864e-01,-2.355608e-01
202780,1.0139e-06,6.281951e-01,7.179114e-01,-1.571215e-01
202800,1.014e-06,6.276123e-01,7.861384e-01,-6.474975e-02
202820,1.0141e-06,6.249164e-01,1.015897e+00,-1.161444e-01
202840,1.0142e-06,6.157456e-01,9.422698e-01,-2.001598e-01
202860,1.0143e-06,6.149071e-01,9.684188e-01,-6.134289e-02
202880,1.0144e-06,6.120619e-01,7.595062e-01,3.169976e-01
202900,1.0145e-06,6.090147e-01,6.089714e-01,-3.589481e-02
202920,1.0146e-06,6.062983e-01,7.816438e-01,-3.888588e-02
202940,1.0147e-06,6.131356e-01,5.567972e-01,-2.175208e-01
202960,1.0148e-06,6.134852e-01,4.399973e-01,-1.314115e-01
202980,1.0149e-06,6.036744e-01,7.607699e-01,-1.427563e-02
203000,1.015e-06,6.031682e-01,8.576654e-01,-1.972894e-01
203020,1.0151e-06,6.036084e-01,6.199416e-01,-3.762760e-01
203040,1.0152e-06,5.969732e-01,7.909887e-01,-1.996479e-01
203060,1.0153e-06,5.944872e-01,7.065940e-01,-7.715575e-02
203080,1.0154e-06,6.036626e-01,9.962274e-01,-1.921157e-01
203100,1.0155e-06,6.081328e-01,9.715388e-01,-3.114720e-01
203120,1.0156e-06,6.147708e-01,1.171245e+00,-7.559854e-02
203140,1.0157e-06,6.149790e-01,1.311255e+00,-1.569067e-01
203160,1.0158e-06,6.148426e-01,1.281769e+00,-1.588743e-01
203180,1.0159e-06,6.192813e-01,1.308994e+00,-1.527200e-01
203200,1.016e-06,6.205767e-01,1.241787e+00,-3.333076e-02
203220,1.0161e-06,6.252809e-01,1.187797e+00,-3.143293e-01
203240,1.0162e-06,6.194568e-01,1.394570e+00,-1.381431e-02
203260,1.0163e-06,6.155602e-01,1.301044e+00,2.177804e-01
203280,1.0164e-06,6.174094e-01,1.318980e+00,-1.286685e-01
203300,1.0165e-06,6.149270e-01,1.193438e+00,-8.762228e-02
203320,1.0166e-06,6.201501e-01,8.980645e-01,-2.243767e-01
203340,1.0167e-06,6.179237e-01,9.893677e-01,-2.976743e-01
203360,1.0168e-06,6.230853e-01,1.051812e+00,-2.705676e-01
203380,1.0169e-06,6.280258e-01,7.332653e-01,-2.749610e-01
203400,1.017e-06,6.271480e-01,8.432502e-01,-2.339164e-01
203420,1.0171e-06,6.273218e-01,8.073342e-01,-5.410621e-02
203440,1.0172e-06,6.299111e-01,6.315613e-01,-1.956367e-01
203460,1.0173e-06,6.316480e-01,7.275131e-01,-3.706683e-01
203480,1.0174e-06,6.229367e-01,5.052276e-01,-3.848802e-01
203500,1.0175e-06,6.146898e-01,6.699804e-01,-1.103209e-01
203520,1.0176e-06,6.122881e-01,4.775328e-01,-2.654769e-01
203540,1.0177e-06,6.092989e-01,5.721962e-01,-2.331582e-01
203560,1.0178e-06,6.075030e-01,7.090285e-01,-2.285241e-01
203580,1.0179e-06,6.086138e-01,5.341941e-01,-4.553288e-01
203600,1.018e-06,6.030643e-01,9.362522e-01,-3.115390e-01
203620,1.0181e-06,5.982267e-01,8.318264e-01,-2.868916e-01
203640,1.0182e-06,5.990443e-01,8.281853e-01,-2.772215e-01
203660,1.0183e-06,6.069212e-01,8.687008e-01,-8.000455e-02
203680,1.0184e-06,6.041358e-01,8.912191e-01,-3.957958e-01
203700,1.0185e-06,6.009395e-01,7.469497e-01,-4.189076e-01
203720,1.0186e-06,6.065809e-01,9.476794e-01,-3.704495e-01
203740,1.0187e-06,6.161637e-01,1.144197e+00,-3.489787e-01
203760,1.0188e-06,6.184992e-01,9.822601e-01,-2.632186e-01
203780,1.0189e-06,6.142932e-01,1.263996e+00,-4.043424e-01
203800,1.019e-06,6.211509e-01,1.197144e+00,-2.801103e-01
203820,1.0191e-06,6.261199e-01,8.604069e-01,-7.436555e-02
203840,1.0192e-06,6.326185e-01,1.210476e+00,-4.786119e-01
203860,1.0193e-06,6.209651e-01,1.181465e+00,-4.222501e-01
203880,1.0194e-06,6.094287e-01,1.251970e+00,-9.200910e-02
203900,1.0195e-06,6.150701e-01,1.089455e+00,-3.134754e-01
203920,1.0196e-06,6.223551e-01,1.018937e+00,-4.378402e-01
203940,1.0197e-06,6.225094e-01,8.380693e-01,-2.716124e-01
203960,1.0198e-06,6.272904e-01,8.476029e-01,-2.864996e-01
203980,1.0199e-06,6.291200e-01,8.589970e-01,-6.274900e-01
204000,1.02e-06,6.355154e-01,8.877938e-01,-1.996966e-01
204020,1.0201e-06,6.367864e-01,8.128549e-01,-2.547619e-01
204040,1.0202e-06,6.280105e-01,6.864468e-01,-3.969458e-01
204060,1.0203e-06,6.189618e-01,7.843259e-01,-3.132672e-01
204080,1.0204e-06,6.328033e-01,9.925182e-01,-2.905068e-01
204100,1.0205e-06,6.330369e-01,8.004690e-01,-4.179728e-01
204120,1.0206e-06,6.205844e-01,7.420967e-01,-3.965503e-01
204140,1.0207e-06,6.087461e-01,6.747663e-01,-4.127933e-01
204160,1.0208e-06,6.097435e-01,6.209408e-01,-5.837765e-01
204180,1.0209e-06,6.115032e-01,8.093534e-01,-4.937244e-01
204200,1.021e-06,6.175447e-01,6.203268e-01,-6.702700e-01
204220,1.0211e-06,6.128975e-01,5.964891e-01,-5.034683e-01
204240,1.0212e-06,6.084865e-01,6.456355e-01,-4.221517e-01
204260,1.0213e-06,6.021479e-01,4.899881e-01,-4.820510e-01
204280,1.0214e-06,5.979373e-01,8.547502e-01,-4.206428e-01
204300,1.0215e-06,5.987930e-01,8.152195e-01,-3.159985e-01
204320,1.0216e-06,6.104351e-01,8.045878e-01,-7.419139e-01
204340,1.0217e-06,6.102889e-01,9.446594e-01,-6.054237e-01
204360,1.0218e-06,6.113291e-01,1.015519e+00,-2.371113e-01
204380,1.0219e-06,6.154583e-01,1.234083e+00,-3.320195e-01
204400,1.022e-06,6.261254e-01,1.324719e+00,-4.835252e-01
204420,1.0221e-06,6.352357e-01,1.099449e+00,-3.484932e-01
204440,1.0222e-06,6.193394e-01,1.065241e+00,-2.381086e-01
204460,1.0223e-06,6.148123e-01,1.167296e+00,-3.548611e-01
204480,1.0224e-06,6.245431e-01,1.032358e+00,-2.975582e-01
204500,1.0225e-06,6.252425e-01,1.081554e+00,-4.195306e-01
204520,1.0226e-06,6.231488e-01,1.055626e+00,-3.881837e-01
204540,1.0227e-06,6.234406e-01,8.699287e-01,-2.895711e-01
204560,1.0228e-06,6.197523e-01,8.410083e-01,-3.620640e-01
204580,1.0229e-06,6.242033e-01,8.592517e-01,-4.764119e-01
204600,1.023e-06,6.316044e-01,9.197059e-01,-4.231450e-01
204620,1.0231e-06,6.308578e-01,1.078358e+00,-2.840545e-01
204640,1.0232e-06,6.336091e-01,8.972424e-01,-4.313485e-01
204660,1.0233e-06,6.378232e-01,7.955422e-01,-4.305792e-01
204680,1.0234e-06,6.401917e-01,5.926582e-01,-3.435569e-01
204700,1.0235e-06,6.310992e-01,6.158541e-01,-1.620009e-01
204720,1.0236e-06,6.276009e-01,4.931538e-01,-5.103139e-01
204740,1.0237e-06,6.287031e-01,4.844212e-01,-4.196694e-01
204760,1.0238e-06,6.261637e-01,7.196686e-01,-3.215307e-01
204780,1.0239e-06,6.161147e-01,7.352408e-01,-6.421593e-01
204800,1.024e-06,6.111822e-01,4.154550e-01,-5.011185e-01
204820,1.0241e-06,6.096203e-01,5.578587e-01,-5.234161e-01
204840,1.0242e-06,6.146436e-01,8.683311e-01,-5.319428e-01
204860,1.0243e-06,6.167689e-01,6.909816e-01,-7.624978e-01
204880,1.0244e-06,6.040633e-01,4.704567e-01,-6.379476e-01
204900,1.0245e-06,6.034608e-01,7.407128e-01,-4.826724e-01
204920,1.0246e-06,6.122957e-01,5.589436e-01,-4.336266e-01
204940,1.0247e-06,6.133768e-01,7.718888e-01,-6.932306e-01
204960,1.0248e-06,6.177904e-01,5.795131e-01,-5.652832e-01
204980,1.0249e-06,6.179420e-01,8.917699e-01,-2.538903e-01
205000,1.025e-06,6.224684e-01,9.710286e-01,-3.988627e-01
205020,1.0251e-06,6.271328e-01,1.060878e+00,-5.304047e-01
205040,1.0252e-06,6.311774e-01,1.205103e+00,-2.855332e-01
205060,1.0253e-06,6.321480e-01,1.006806e+00,-5.104914e-01
205080,1.0254e-06,6.351432e-01,1.007566e+00,-4.920813e-01
205100,1.0255e-06,6.274239e-01,9.444190e-01,-7.533933e-01
205120,1.0256e-06,6.247876e-01,9.495003e-01,-4.551129e-01
205140,1.0257e-06,6.288849e-01,9.025151e-01,-5.799346e-01
205160,1.0258e-06,6.283440e-01,9.345002e-01,-4.878798e-01
205180,1.0259e-06,6.299248e-01,9.469601e-01,-4.961159e-01
205200,1.026e-06,6.313210e-01,7.863253e-01,-5.729432e-01
205220,1.0261e-06,6.290568e-01,8.625816e-01,-4.408188e-01
205240,1.0262e-06,6.258736e-01,8.394875e-01,-3.316019e-01
205260,1.0263e-06,6.289712e-01,8.782725e-01,-4.879043e-01
205280,1.0264e-06,6.345028e-01,6.803119e-01,-4.845944e-01
205300,1.0265e-06,6.352136e-01,6.305822e-01,-2.935597e-01
205320,1.0266e-06,6.340139e-01,7.472754e-01,-5.242113e-01
205340,1.0267e-06,6.295773e-01,5.345742e-01,-6.483782e-01
205360,1.0268e-06,6.314617e-01,5.242946e-01,-6.757948e-01
205380,1.0269e-06,6.248241e-01,5.018861e-01,-7.551873e-01
