cycle,time,phi1,Ex1,Ey1
20,1e-10,4.963367e-01,3.705485e-01,-1.048047e-01
40,2e-10,5.119202e-01,4.445417e-01,-1.342256e-01
60,3e-10,5.259112e-01,4.388077e-01,-9.891309e-02
80,4e-10,5.213132e-01,4.175374e-01,-8.051845e-03
100,5e-10,4.980997e-01,5.217743e-01,8.821454e-02
120,6e-10,4.736280e-01,5.228390e-01,-7.225968e-02
140,7e-10,4.685308e-01,4.528432e-01,-1.063308e-02
160,8e-10,4.817206e-01,4.896338e-01,3.251687e-02
180,9e-10,4.878493e-01,4.742588e-01,-8.926579e-03
200,1e-09,4.652074e-01,6.016564e-01,-4.421559e-02
220,1.1e-09,4.267720e-01,7.319444e-01,3.919018e-02
240,1.2e-09,4.111708e-01,5.986351e-01,3.680387e-03
260,1.3e-09,4.220191e-01,7.164013e-01,7.978319e-03
280,1.4e-09,4.338328e-01,7.514128e-01,1.060522e-01
300,1.5e-09,4.108947e-01,7.550809e-01,1.444865e-01
320,1.6e-09,3.699921e-01,9.776093e-01,-1.320633e-02
340,1.7e-09,3.494909e-01,8.404700e-01,2.495802e-02
360,1.8e-09,3.631677e-01,7.783287e-01,1.630574e-02
380,1.9e-09,3.795776e-01,8.788356e-01,3.385929e-02
400,2e-09,3.633603e-01,8.881445e-01,5.309648e-02
420,2.1e-09,3.223760e-01,1.019271e+00,5.136355e-02
440,2.2e-09,3.042752e-01,1.045655e+00,2.130569e-01
460,2.3e-09,3.278484e-01,8.978191e-01,8.619571e-02
480,2.4e-09,3.526845e-01,8.695719e-01,1.349942e-01
500,2.5e-09,3.399951e-01,1.056375e+00,6.775515e-04
520,2.6e-09,3.078980e-01,1.223791e+00,1.173452e-01
540,2.7e-09,3.055609e-01,9.937909e-01,8.442995e-02
560,2.8e-09,3.419640e-01,1.032498e+00,1.423785e-01
580,2.9e-09,3.789859e-01,9.618324e-01,9.666331e-02
600,3e-09,3.816353e-01,1.061614e+00,8.107137e-02
620,3.1e-09,3.805113e-01,1.009872e+00,7.273410e-02
640,3.2e-09,4.159829e-01,1.070729e+00,8.888847e-02
660,3.3e-09,4.956681e-01,1.114527e+00,-8.825774e-02
680,3.4e-09,5.844100e-01,9.630372e-01,-5.737587e-02
700,3.5e-09,6.460875e-01,1.131831e+00,3.768943e-02
720,3.6e-09,7.145237e-01,1.138841e+00,3.694920e-02
740,3.7e-09,8.111569e-01,1.085824e+00,-8.052019e-02
760,3.8e-09,9.251182e-01,1.136582e+00,-3.470057e-02
780,3.9e-09,1.019657e+00,9.812612e-01,-8.926061e-02
800,4e-09,1.067501e+00,1.031555e+00,-6.900840e-02
820,4.1e-09,1.078462e+00,1.180046e+00,2.147108e-02
840,4.2e-09,1.081511e+00,1.048372e+00,1.078271e-01
860,4.3e-09,1.069062e+00,1.030648e+00,1.925139e-01
880,4.4e-09,1.018505e+00,1.078097e+00,1.781480e-01
900,4.5e-09,9.240582e-01,1.130109e+00,-3.048026e-02
920,4.6e-09,8.119250e-01,1.135001e+00,1.093054e-02
940,4.7e-09,7.116799e-01,1.098027e+00,7.000042e-02
