cycle,time,phi1,Ex1,Ey1
20,1e-10,4.999447e-01,3.423341e-01,-6.470913e-02
40,2e-10,5.215845e-01,3.635999e-01,-7.902711e-02
60,3e-10,5.455068e-01,3.251815e-01,-2.550192e-02
80,4e-10,5.552178e-01,2.902867e-01,-6.380429e-02
100,5e-10,5.502344e-01,2.537213e-01,-1.056225e-01
120,6e-10,5.508236e-01,2.202774e-01,-3.215991e-02
140,7e-10,5.780282e-01,2.235738e-01,9.058797e-03
160,8e-10,6.296856e-01,1.878881e-01,-2.256992e-02
180,9e-10,6.762199e-01,1.179328e-01,-3.295106e-02
200,1e-09,6.938828e-01,-3.402726e-02,2.833206e-02
220,1.1e-09,6.914070e-01,-5.649853e-02,-9.596655e-03
240,1.2e-09,7.053394e-01,-6.960245e-02,2.138924e-02
260,1.3e-09,7.397939e-01,3.397559e-02,-4.969593e-02
280,1.4e-09,7.580023e-01,1.210463e-02,-2.105903e-02
300,1.5e-09,7.367305e-01,-4.652559e-02,-1.738928e-02
320,1.6e-09,7.040167e-01,5.343521e-02,-5.857393e-02
340,1.7e-09,7.011926e-01,8.573041e-02,-1.131813e-01
360,1.8e-09,7.303941e-01,7.515351e-02,-5.571349e-02
380,1.9e-09,7.614323e-01,1.377580e-01,5.493978e-02
400,2e-09,7.699404e-01,2.077813e-01,-5.613672e-02
420,2.1e-09,7.625382e-01,5.271276e-01,-2.749083e-02
440,2.2e-09,7.698146e-01,6.057978e-01,-4.014895e-02
460,2.3e-09,8.004274e-01,3.945296e-01,-3.798110e-02
480,2.4e-09,8.353071e-01,2.295945e-01,-2.024944e-02
500,2.5e-09,8.355504e-01,4.049636e-01,-5.708658e-02
520,2.6e-09,7.949433e-01,5.435610e-01,-8.210579e-02
540,2.7e-09,7.559008e-01,4.787261e-01,1.406523e-02
560,2.8e-09,7.528533e-01,2.387215e-01,2.342736e-02
580,2.9e-09,7.603797e-01,1.816684e-01,1.188794e-02
600,3e-09,7.343776e-01,1.459135e-01,7.156466e-03
620,3.1e-09,6.895407e-01,3.174638e-01,-2.101492e-03
640,3.2e-09,6.848963e-01,1.220472e-01,-2.034485e-02
660,3.3e-09,7.297773e-01,-1.565028e-01,-4.703828e-02
680,3.4e-09,7.654175e-01,-1.735411e-02,3.124329e-02
700,3.5e-09,7.446772e-01,1.857219e-01,-6.565121e-05
720,3.6e-09,7.024143e-01,1.543213e-01,-1.058025e-01
740,3.7e-09,6.949480e-01,1.669477e-02,-4.656237e-02
760,3.8e-09,7.294288e-01,-8.924296e-02,6.478146e-02
780,3.9e-09,7.479843e-01,1.167856e-01,-4.375780e-02
800,4e-09,7.195634e-01,1.427047e-01,-7.440911e-02
820,4.1e-09,6.852016e-01,3.697148e-01,3.934534e-03
840,4.2e-09,7.062239e-01,4.183627e-01,4.312605e-04
860,4.3e-09,7.693753e-01,3.096811e-01,2.915271e-02
880,4.4e-09,8.086473e-01,2.627722e-01,-5.641455e-02
900,4.5e-09,7.939451e-01,4.370644e-01,-7.658815e-02
920,4.6e-09,7.713448e-01,4.764608e-01,-5.182199e-02
940,4.7e-09,7.884545e-01,3.008838e-01,-6.961911e-02
960,4.8e-09,8.194346e-01,3.320990e-01,-6.910711e-03
980,4.9e-09,8.038715e-01,2.562161e-01,-2.145567e-02
1000,5e-09,7.391962e-01,3.360469e-01,-2.335157e-02
1020,5.1e-09,6.915309e-01,3.268888e-01,-6.999134e-02
1040,5.2e-09,6.999261e-01,1.757003e-01,-5.330537e-02
1060,5.3e-09,7.348115e-01,-2.361566e-02,-9.714871e-03
1080,5.4e-09,7.361888e-01,2.383482e-02,-6.244093e-02
1100,5.5e-09,7.009417e-01,1.317408e-01,-2.008081e-02
1120,5.6e-09,6.836516e-01,7.620453e-02,-6.958801e-02
1140,5.7e-09,7.159709e-01,-4.339139e-03,-8.213736e-02
1160,5.8e-09,7.529013e-01,-8.760070e-03,-4.573486e-02
1180,5.9e-09,7.411395e-01,1.407444e-02,-2.617313e-02
1200,6e-09,6.950717e-01,1.405827e-01,2.881518e-02
1220,6.1e-09,6.754667e-01,1.497529e-01,1.131776e-02
1240,6.2e-09,7.061053e-01,1.030386e-01,4.843940e-02
1260,6.3e-09,7.492362e-01,1.474853e-01,-1.556695e-01
1280,6.4e-09,7.603611e-01,3.549591e-01,-5.501679e-02
1300,6.5e-09,7.414238e-01,4.003581e-01,1.544725e-03
1320,6.6e-09,7.362407e-01,2.726304e-01,2.625747e-02
1340,6.7e-09,7.676843e-01,2.766605e-01,-7.521147e-02
1360,6.8e-09,8.047546e-01,4.799096e-01,-1.210012e-01
1380,6.9e-09,8.023443e-01,4.796665e-01,-5.829958e-02
1400,7e-09,7.554635e-01,3.706964e-01,-4.093778e-02
1420,7.1e-09,7.189301e-01,1.647998e-01,-1.069085e-02
1440,7.2e-09,7.270869e-01,2.545696e-01,-8.076415e-02
1460,7.3e-09,7.495872e-01,2.244711e-01,7.944371e-02
1480,7.4e-09,7.343982e-01,2.165959e-01,-5.941790e-02
1500,7.5e-09,6.900992e-01,8.577726e-02,9.398532e-03
1520,7.6e-09,6.761134e-01,-4.066271e-02,-1.593650e-02
1540,7.7e-09,7.184101e-01,3.626243e-02,-8.251695e-02
1560,7.8e-09,7.477633e-01,3.860810e-01,-4.305172e-02
1580,7.9e-09,7.191117e-01,2.5060
